

Reaction test
type	A+B+C
number	250

max value	65536
unit	us

test	A	B	C
0	8	26	36
1	17	26	8
2	21	10	30
3	1272	1262	1251
4	3656	3646	3636
5	2458	2449	2439
6	26	17	7
7	2950	2972	2962
8	1585	1563	1575
9	17	26	7
10	10	32	22
11	8	29	19
12	727	738	748
13	2444	2433	2454
14	4989	4979	4999
15	30	9	21
16	7	28	18
17	25	5	15
18	2352	2361	2342
19	2842	2851	2831
20	554	532	544
21	3167	3141	3157
22	26	17	7
23	3840	3861	3851
24	522	511	531
25	2426	2440	2451
26	1367	1377	1356
27	517	528	537
28	5035	5057	5047
29	9	30	21
30	685	675	695
31	2339	2315	2349
32	724	735	745
33	21	30	11
34	294	303	284
35	11	21	30
36	2960	2949	2970
37	419	429	410
38	41	62	52
39	9	29	19
40	16	25	7
41	3529	3520	3510
42	3457	3465	3447
43	2496	2506	2516
44	2568	2559	2548
45	1052	1061	1043
46	2191	2200	2180
47	796	817	807
48	161	170	150
49	5009	5018	4999
50	1197	1187	1177
51	961	941	951
52	988	968	979
53	4519	4509	4529
54	540	549	531
55	1527	1548	1538
56	9	19	28
57	3550	3572	3562
58	31	21	12
59	1189	1209	1199
60	1514	1524	1504
61	1754	1744	1764
62	2461	2471	2449
63	2646	2666	2656
64	19	28	9
65	3116	3126	3136
66	400	379	390
67	2273	2284	2294
68	957	948	938
69	3197	3207	3217
70	3044	3052	3034
71	1706	1696	1715
72	19	9	27
73	26	5	16
74	7	28	18
75	6	17	26
76	3764	3773	3755
77	10	31	21
78	26	17	7
79	681	702	692
80	4855	4864	4846
81	16	25	6
82	716	726	736
83	1685	1675	1694
84	1011	990	1001
85	16	25	6
86	2161	2172	2182
87	2949	2958	2939
88	3695	3686	3676
89	1194	1204	1214
90	5	26	16
91	1778	1757	1768
92	26	17	7
93	2413	2422	2403
94	2726	2747	2737
95	1743	1753	1763
96	1097	1106	1087
97	188	167	178
98	2954	2963	2945
99	3457	3465	3447
100	2848	2836	2857
101	267	288	278
102	1891	1900	1881
103	28	8	18
104	10	30	20
105	2585	2575	2594
106	1999	1987	2009
107	123	132	113
108	3201	3180	3191
109	9	30	20
110	1891	1881	1869
111	17	7	26
112	11	31	21
113	3464	3454	3473
114	3687	3695	3677
115	8	29	19
116	10	30	20
117	2741	2729	2750
118	525	504	515
119	2333	2344	2354
120	4500	4522	4512
121	4155	4134	4145
122	5	25	15
123	2718	2706	2727
124	1157	1136	1147
125	2693	2714	2704
126	3666	3677	3687
127	10	30	20
128	163	154	144
129	928	916	937
130	31	10	21
131	30	21	11
132	2274	2294	2284
133	639	648	629
134	18	27	8
135	17	7	26
136	2308	2317	2299
137	18	8	27
138	2305	2294	2314
139	17	7	27
140	97	87	78
141	2289	2298	2279
142	3284	3305	3295
143	12	32	22
144	1207	1218	1227
145	815	805	796
146	579	600	590
147	20	29	9
148	6	16	26
149	2075	2096	2087
150	5700	5690	5710
151	309	329	319
152	509	519	499
153	2624	2645	2635
154	3089	3079	3070
155	1825	1804	1815
156	2451	2472	2462
157	18	27	8
158	2752	2731	2742
159	68	48	58
160	6	27	17
161	2513	2504	2494
162	33	21	11
163	6	26	16
164	1879	1858	1869
165	6022	6031	6012
166	15	5	25
167	21	30	12
168	27	6	17
169	10	20	30
170	3610	3619	3601
171	4317	4338	4328
172	6	27	17
173	8	20	30
174	672	681	662
175	2804	2815	2824
176	5021	5011	5030
177	29	9	20
178	6	26	16
179	3329	3318	3338
180	2985	2964	2975
181	1721	1701	1711
182	563	586	576
183	31	20	40
184	15	5	24
185	2221	2242	2232
186	28	19	9
187	5777	5767	5786
188	910	901	891
189	1405	1384	1395
190	15	4	24
191	5544	5555	5565
192	2185	2176	2166
193	1413	1392	1403
194	597	4592	4638
195	2108	2117	2098
196	2108	2117	2098
197	26	16	7
198	11	31	21
199	29	19	10
200	5	25	15
201	21	11	30
202	2390	2411	2401
203	3390	3399	3381
204	16	6	25
205	1678	1657	1668
206	1502	1492	1483
207	169	148	159
208	29	8	19
209	4872	4862	4881
210	19	9	28
211	344	353	335
212	5106	5116	5126
213	2688	2678	2669
214	4564	4544	4555
215	11	21	30
216	3788	3779	3769
217	1299	1309	1319
218	2306	2285	2296
219	9	19	29
220	772	782	792
221	3216	3206	3197
222	19	28	9
223	642	663	653
224	224	234	214
225	7	27	17
226	5452	5431	5442
227	3684	3705	3695
228	2268	2279	2289
229	31	10	21
230	598	588	578
231	10	20	30
232	298	286	308
233	585	605	595
234	74	95	85
235	11	31	21
236	445	466	456
237	995	1004	984
238	3977	3986	3967
239	2692	2671	2682
240	8	18	27
241	1564	1575	1585
242	2110	2120	2099
243	15	24	5
244	30	20	11
245	1381	1371	1390
246	4	14	24
247	3084	3073	3093
248	5426	5436	5446
249	982	1002	992
