

Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	62	78	92
1	138	156	174
2	651	666	680
3	150	160	170
4	479	496	515
5	649	666	685
6	174	191	210
7	222	240	258
8	810	819	829
9	641	663	672
10	353	375	384
11	428	446	464
12	128	142	156
13	824	842	860
14	512	529	547
15	488	510	520
16	583	597	611
17	950	972	982
18	451	465	478
19	424	438	451
20	881	903	913
21	235	245	255
22	989	1000	1015
23	136	147	163
24	381	403	412
25	57	67	77
26	918	935	954
27	820	838	856
28	506	523	542
29	654	669	684
30	807	824	843
31	688	706	724
32	616	633	652
33	63	81	99
34	206	220	234
35	15	33	51
36	746	759	769
37	35	53	71
38	116	133	151
39	448	465	483
40	991	1006	1020
41	282	304	313
42	967	979	994
43	837	850	859
44	334	352	370
45	913	930	949
46	778	795	814
47	701	718	737
48	830	848	866
49	196	218	227
50	666	681	694
51	854	872	891
52	988	1006	1025
53	63	85	95
54	730	747	765
55	560	578	597
56	563	580	599
57	327	338	354
58	917	939	949
59	602	619	637
60	183	205	214
61	354	376	385
62	420	442	452
63	1002	9	18
64	25	47	56
65	865	876	891
66	525	541	560
67	903	925	934
68	914	929	942
69	215	237	246
70	456	474	492
71	944	958	972
72	117	135	153
73	247	264	283
74	490	507	526
75	210	232	241
76	99	108	118
77	753	765	781
78	519	541	551
79	695	718	727
80	846	863	882
81	723	745	754
82	543	553	563
83	428	439	454
84	513	535	545
85	428	445	464
86	885	897	910
87	456	465	475
88	228	240	254
89	271	288	306
90	294	312	330
91	499	513	527
92	762	773	789
93	925	937	951
94	929	941	954
95	677	692	705
96	715	726	741
97	856	865	875
98	412	427	440
99	437	448	463
100	921	943	952
101	830	841	857
102	306	324	342
103	36	51	64
104	465	487	496
105	259	281	290
106	246	263	282
107	435	446	462
108	500	522	531
109	884	895	911
110	1491	504	514
111	899	911	926
112	676	698	708
113	481	496	509
114	732	753	763
115	807	829	838
116	700	722	731
117	468	485	504
118	749	766	785
119	982	997	1010
120	201	218	237
121	931	954	963
122	72	89	108
123	284	296	309
124	174	185	201
125	459	474	487
126	769	783	797
127	430	448	467
128	991	1013	1023
129	978	993	1006
130	587	604	623
131	380	397	416
132	695	717	726
133	940	958	976
134	139	161	170
135	168	180	194
136	141	158	177
137	177	192	205
138	787	799	813
139	893	905	920
140	339	352	365
141	368	390	399
142	425	442	461
143	449	466	485
144	172	190	208
145	829	846	865
146	715	727	742
147	261	283	293
148	201	219	237
149	221	237	256
150	765	783	805
151	961	975	995
152	201	213	227
153	648	665	685
154	549	566	585
155	667	684	703
156	35	56	65
157	205	222	241
158	792	810	828
159	886	898	913
160	542	560	578
161	147	157	167
162	434	445	461
163	850	867	886
