

Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	26	40	10
1	38	13	26
2	11	24	36
3	20	32	8
4	7	21	34
5	32	5	19
6	24	37	12
7	32	6	20
8	5	18	31
9	8	21	34
10	25	38	11
11	38	11	25
12	5	18	31
13	6	19	33
14	5	18	32
15	12	24	37
16	21	34	8
17	19	31	6
18	9	22	35
19	8	22	35
20	32	6	19
21	5	18	31
22	21	34	9
23	19	33	7
24	20	33	8
25	24	36	12
26	36	10	24
27	36	10	24
28	12	25	38
29	19	31	7
30	9	22	35
31	12	25	38
32	6	19	31
33	20	33	8
34	32	6	20
35	12	25	39
36	19	32	7
37	11	24	38
38	39	14	27
39	32	7	20
40	7	19	33
41	32	5	20
42	33	8	21
43	6	19	33
44	20	33	8
45	8	21	34
46	32	6	20
47	34	7	21
48	20	33	8
49	34	8	21
50	11	24	38
51	39	13	26
52	39	14	27
53	22	35	11
54	21	34	8
55	10	23	36
56	32	7	20
57	11	23	36
58	38	13	26
59	23	36	11
60	6	18	32
61	31	6	19
62	7	20	32
63	11	23	36
64	26	40	14
65	12	25	38
66	32	6	20
67	21	33	9
68	12	25	38
69	18	31	5
70	20	33	9
71	11	24	37
72	5	18	31
73	36	11	24
74	9	22	37
75	21	34	9
76	32	7	20
77	10	22	35
78	20	32	8
79	37	12	25
80	18	31	6
81	25	38	13
82	24	37	12
83	38	12	26
84	33	7	20
85	20	33	7
86	9	22	35
87	25	38	13
88	24	37	12
89	6	19	32
90	34	8	21
91	34	9	22
92	19	31	5
93	8	21	35
94	20	33	8
95	33	8	20
96	12	24	37
97	11	24	37
98	33	6	20
99	11	23	37
100	7	19	32
101	10	23	36
102	32	6	20
103	11	23	36
104	20	32	6
105	7	21	34
106	12	25	38
107	12	25	37
108	19	31	7
109	35	9	23
110	37	10	24
111	6	19	32
112	8	21	34
113	37	11	25
114	7	20	35
115	37	11	25
116	25	38	12
117	23	36	11
118	33	7	21
119	9	21	34
120	12	24	37
121	10	22	34
122	7	20	34
123	23	36	10
124	19	31	7
125	36	11	24
126	22	35	10
127	36	8	22
128	33	6	20
129	38	11	25
130	10	23	36
131	9	22	35
132	8	21	34
133	13	27	39
134	26	38	13
135	19	33	7
136	35	9	23
137	12	25	39
138	10	24	37
139	13	28	41
140	35	9	22
141	10	22	36
142	32	54	16
143	23	35	10
144	39	14	27
145	20	33	7
146	12	25	38
147	37	11	24
148	35	10	24
149	12	25	38
150	35	9	22
151	21	33	8
152	35	9	22
153	24	37	11
154	20	33	7
155	6	20	34
156	12	26	39
157	25	38	12
158	22	35	10
159	24	37	12
160	22	34	9
161	11	24	36
162	37	12	25
163	22	34	9
164	34	7	22
165	26	39	13
166	21	34	8
167	34	9	22
168	21	34	9
169	30	5	18
170	35	9	23
171	24	37	11
172	12	25	37
173	18	30	6
174	23	40	11
175	23	36	11
176	6	19	33
177	22	35	9
178	25	40	13
179	30	5	18
180	25	37	12
181	33	7	20
182	37	7	25
