#period	period time	calc time
1	1740	1256
2	2001	1002
3	1999	1252
4	2249	1254
5	2000	1002
6	1997	1003
7	1746	1001
8	1997	1264
9	2003	1003
10	1998	993
11	1991	1019
12	2007	999
13	1997	1252
14	2001	999
15	1996	1002
16	1998	1001
17	1997	1003
18	1999	1245
19	1991	1019
20	2008	1000
21	1997	1002
22	1998	1000
23	2000	1252
24	1998	1002
25	1999	1001
26	1998	1002
27	1998	1003
28	1999	1268
29	1999	1002
30	1998	1002
31	1997	1002
32	2000	1000
33	2247	1003
34	1749	1002
35	2000	1002
36	1997	1004
37	1999	1002
38	1998	1249
39	2248	753
40	1999	752
41	1999	751
42	1748	1002
43	1999	1250
44	2248	752
45	1998	754
46	1749	1002
47	1998	1002
48	2251	1002
49	1996	752
50	1750	1000
51	2249	1001
52	1997	751
53	1998	1001
54	1997	753
55	1999	753
56	1999	752
57	1999	752
58	1998	1002
59	2000	1000
60	1997	752
61	1998	752
62	1999	752
63	1998	1004
64	1999	1002
65	1997	753
66	2000	752
67	1998	752
68	1999	1000
69	1998	1002
70	1998	753
71	2000	752
72	1999	753
73	1998	1002
74	1999	1001
75	1998	768
76	1998	756
77	2001	753
78	1996	1002
79	2003	997
80	1993	1002
81	1999	1004
82	1998	1004
83	2000	1002
84	1998	1002
85	1998	1002
86	2001	1000
87	1996	1003
88	1999	1003
89	1999	1001
90	1998	1003
91	1999	752
92	1998	752
93	1998	1002
94	1998	1002
95	2001	1000
96	1997	1002
97	1998	1002
98	1998	1002
99	1998	1004
100	1999	1002
101	1999	1002
102	1998	1002
103	1998	1252
104	2001	999
105	1995	1002
106	1998	1003
107	2000	1002
108	1991	1000
109	2002	1008
110	2003	1027
111	1998	1001
112	1998	1002
113	2000	1249
114	1998	999
115	1998	1002
116	1998	1002
117	1998	1003
118	1999	1002
119	1999	1016
120	1999	1015
121	1998	1003
122	2000	1002
123	1996	1251
124	1998	1001
125	1998	1004
126	2000	1002
127	1997	1003
128	2000	1252
129	1998	1002
130	1998	1003
131	2001	1001
132	1997	1002
133	1999	1252
134	1998	1002
135	1998	1003
136	1998	1002
137	1998	1003
138	2250	1252
139	1748	1001
140	2002	998
141	1997	1002
142	1992	1001
143	1999	1255
144	2001	1003
145	1997	1002
146	1999	1004
147	1999	1002
148	1999	1250
149	2000	1000
150	1997	1001
151	1998	1002
152	1998	1002
153	1999	1252
154	1998	1002
155	1997	1002
156	2000	1001
157	1999	1001
158	2000	1250
159	1996	1002
160	1998	1001
161	1999	1002
162	1999	1002
163	1999	1252
164	1998	1003
165	2000	1002
166	1997	1002
167	2001	1002
168	1998	1255
169	1998	1001
170	1998	1002
171	1998	1004
172	1999	1001
173	1998	1252
174	1999	1002
175	1998	1002
176	2000	1000
177	1997	1002
178	1998	1250
179	1998	1002
180	1998	1003
181	1999	1000
182	1997	1002
183	1999	1251
184	1999	1001
185	1999	1001
186	1998	1001
187	1998	1252
188	1999	1252
189	1999	1002
190	1997	1002
191	1999	1002
192	1998	1002
193	1998	1252
194	2001	1000
195	1996	1002
196	1998	1001
197	1999	1002
198	1998	1254
199	1999	1002
200	1998	1252
201	1999	1002
202	1998	1002
203	2000	1250
204	1996	1003
205	2000	1001
206	1998	1001
207	1999	1003
208	1997	1251
209	1998	1004
210	1999	1003
211	2000	1013
212	2000	1011
213	1998	1250
214	1996	1005
215	1998	1003
216	1999	1006
217	1998	1000
218	1996	1260
219	2001	1002
220	1998	1000
221	2001	1000
222	1996	1001
223	1998	1252
224	1998	1001
225	1999	1004
226	1999	1001
227	1998	1002
228	1999	1251
229	1999	1001
230	2000	1000
231	1996	1002
232	1998	1000
233	1998	1251
234	1998	1003
235	2000	1003
236	1998	1001
237	2247	753
238	1749	1251
239	2001	1000
240	1996	1002
241	1999	1001
242	1998	1001
243	1998	1254
244	2000	1001
245	2248	752
246	1748	1002
247	1998	1002
248	2001	1250
249	2246	752
